AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
-88,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,-74,0,-63,-70,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161
0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,-81,-76,-83,-71,-72,-78,0,-88,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161
-88,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-80,0,0,0,-80,0,-71,0,0,0,-84,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161
0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,-82,0,0,0,-73,-75,-74,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5161
-87,0,0,0,-85,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,-74,-76,-81,-57,-72,0,-85,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151
-88,0,0,0,-85,-56,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-82,0,0,-79,-69,0,-70,-52,-83,0,-87,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151
0,-90,0,0,-83,-46,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-83,0,-76,-71,-69,-71,-74,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151
0,-90,0,0,-78,-60,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-81,0,-77,0,-69,0,-77,0,-70,0,-84,-89,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,5151
-89,-88,0,0,0,-54,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-71,-75,-74,-52,-67,0,-85,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151
0,-86,0,0,-77,-81,-81,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
0,-87,0,0,-77,-70,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,-86,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
0,-83,0,0,-73,-63,-81,-88,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
